fold,split,sample_index,sample_id,original_length,padding_fraction,dilation,effective_receptive_field_samples,receptive_field_exceeds_original_length,mean_absolute_feature_delta,max_absolute_feature_delta
3,train,0,ksas_m0_p01_d,27,0.5178571428571428,1,9,False,0.22260147333145142,0.4986772835254669
3,train,1,ksas_m0_p01_i,31,0.4464285714285714,1,9,False,0.18404605984687805,0.37442395091056824
3,train,2,ksas_m0_p10_d,33,0.4107142857142857,1,9,False,0.1681293547153473,0.31114718317985535
3,train,3,ksas_m0_p10_i,43,0.2321428571428571,1,9,False,0.08130499720573425,0.1943521499633789
3,train,4,ksas_m0_p11_d,52,0.0714285714285714,1,9,False,0.025361215695738792,0.06730771064758301
3,train,5,ksas_m0_p11_i,28,0.5,1,9,False,0.21684855222702026,0.4464285671710968
3,train,6,ksas_m0_p12_d,39,0.3035714285714286,1,9,False,0.1120704784989357,0.26236265897750854
3,train,7,ksas_m0_p12_i,18,0.6785714285714286,1,9,False,0.2935090661048889,0.5853174924850464
3,train,8,ksas_m0_p13_d,38,0.3214285714285714,1,9,False,0.12490800023078918,0.2697368264198303
3,train,9,ksas_m0_p13_i,40,0.2857142857142857,1,9,False,0.10656651854515076,0.27142858505249023
3,train,10,ksas_m0_p14_d,34,0.3928571428571429,1,9,False,0.15944363176822662,0.3928571343421936
3,train,11,ksas_m0_p14_i,31,0.4464285714285714,1,9,False,0.1867433786392212,0.4176267385482788
3,train,14,ksas_m0_p16_d,30,0.4642857142857143,1,9,False,0.19869378209114075,0.44880950450897217
3,train,15,ksas_m0_p16_i,28,0.5,1,9,False,0.21221891045570374,0.4821428656578064
3,train,16,ksas_m0_p17_d,34,0.3928571428571429,1,9,False,0.15454794466495514,0.29411762952804565
3,train,17,ksas_m0_p17_i,23,0.5892857142857143,1,9,False,0.25450944900512695,0.5636646151542664
3,train,22,ksas_m0_p02_d,32,0.4285714285714286,1,9,False,0.17821121215820312,0.3883928656578064
3,train,23,ksas_m0_p02_i,29,0.4821428571428571,1,9,False,0.20253977179527283,0.4322660267353058
3,train,24,ksas_m0_p20_d,36,0.3571428571428571,1,9,False,0.1455511897802353,0.3373015522956848
3,train,25,ksas_m0_p20_i,22,0.6071428571428572,1,9,False,0.26705726981163025,0.5162338018417358
3,train,26,ksas_m0_p03_d,31,0.4464285714285714,1,9,False,0.18732282519340515,0.40322577953338623
3,train,27,ksas_m0_p03_i,19,0.6607142857142857,1,9,False,0.3011142909526825,0.6259398460388184
3,train,28,ksas_m0_p04_d,49,0.125,1,9,False,0.030762404203414917,0.09438776969909668
3,train,29,ksas_m0_p04_i,44,0.2142857142857143,1,9,False,0.07446596026420593,0.1753246784210205
3,train,32,ksas_m0_p06_d,40,0.2857142857142857,1,9,False,0.10745228826999664,0.2428571581840515
3,train,33,ksas_m0_p06_i,38,0.3214285714285714,1,9,False,0.1256651133298874,0.30451130867004395
3,train,34,ksas_m0_p07_d,38,0.3214285714285714,1,9,False,0.12858907878398895,0.29605263471603394
3,train,35,ksas_m0_p07_i,35,0.375,1,9,False,0.15056690573692322,0.35357141494750977
3,train,36,ksas_m0_p08_d,44,0.2142857142857143,1,9,False,0.07415459305047989,0.1753246784210205
3,train,37,ksas_m0_p08_i,27,0.5178571428571428,1,9,False,0.22364294528961182,0.4986772835254669
3,train,38,ksas_m0_p09_d,23,0.5892857142857143,1,9,False,0.26203465461730957,0.5892857313156128
3,train,39,ksas_m0_p09_i,35,0.375,1,9,False,0.15006379783153534,0.3642857074737549
3,train,40,ksas_m1_p01_d,36,0.3571428571428571,1,9,False,0.14338073134422302,0.2876984477043152
3,train,41,ksas_m1_p01_i,41,0.2678571428571429,1,9,False,0.09882554411888123,0.24172472953796387
3,train,42,ksas_m1_p10_d,27,0.5178571428571428,1,9,False,0.22719129920005798,0.42195767164230347
3,train,43,ksas_m1_p10_i,26,0.5357142857142857,1,9,False,0.23240087926387787,0.4354395568370819
3,train,44,ksas_m1_p11_d,39,0.3035714285714286,1,9,False,0.11367123574018478,0.24130040407180786
3,train,45,ksas_m1_p11_i,39,0.3035714285714286,1,9,False,0.11672495305538177,0.25457876920700073
3,train,46,ksas_m1_p12_d,29,0.4821428571428571,1,9,False,0.2046245038509369,0.41564038395881653
3,train,47,ksas_m1_p12_i,33,0.4107142857142857,1,9,False,0.17087365686893463,0.3235931098461151
3,train,48,ksas_m1_p13_d,38,0.3214285714285714,1,9,False,0.12425284087657928,0.2453007698059082
3,train,49,ksas_m1_p13_i,34,0.3928571428571429,1,9,False,0.1612735390663147,0.305672287940979
3,train,50,ksas_m1_p14_d,36,0.3571428571428571,1,9,False,0.1428190916776657,0.2797619104385376
3,train,51,ksas_m1_p14_i,37,0.3392857142857143,1,9,False,0.13254740834236145,0.24806952476501465
3,train,54,ksas_m1_p16_d,31,0.4464285714285714,1,9,False,0.18832823634147644,0.3888248801231384
3,train,55,ksas_m1_p16_i,37,0.3392857142857143,1,9,False,0.1336926817893982,0.2842664122581482
3,train,56,ksas_m1_p17_d,54,0.0357142857142857,1,9,False,0.01408878993242979,0.026455044746398926
3,train,57,ksas_m1_p17_i,52,0.0714285714285714,1,9,False,0.02420017123222351,0.056318700313568115
3,train,62,ksas_m1_p02_d,27,0.5178571428571428,1,9,False,0.2242540419101715,0.47949734330177307
3,train,63,ksas_m1_p02_i,28,0.5,1,9,False,0.21306924521923065,0.375
3,train,64,ksas_m1_p20_d,26,0.5357142857142857,1,9,False,0.2293747216463089,0.4148351550102234
3,train,65,ksas_m1_p20_i,29,0.4821428571428571,1,9,False,0.20462407171726227,0.3645320236682892
3,train,66,ksas_m1_p03_d,35,0.375,1,9,False,0.15309903025627136,0.3214285969734192
3,train,67,ksas_m1_p03_i,28,0.5,1,9,False,0.2142384797334671,0.4285714328289032
3,train,68,ksas_m1_p04_d,29,0.4821428571428571,1,9,False,0.20735104382038116,0.4322660267353058
3,train,69,ksas_m1_p04_i,39,0.3035714285714286,1,9,False,0.11716041713953018,0.2490842342376709
3,train,72,ksas_m1_p06_d,36,0.3571428571428571,1,9,False,0.14197926223278046,0.2678571343421936
3,train,73,ksas_m1_p06_i,28,0.5,1,9,False,0.21485261619091034,0.4642857015132904
3,train,74,ksas_m1_p07_d,24,0.5714285714285714,1,9,False,0.24950000643730164,0.4523809850215912
3,train,75,ksas_m1_p07_i,29,0.4821428571428571,1,9,False,0.20693930983543396,0.41564038395881653
3,train,76,ksas_m1_p08_d,36,0.3571428571428571,1,9,False,0.14213015139102936,0.2599206566810608
3,train,77,ksas_m1_p08_i,36,0.3571428571428571,1,9,False,0.14516408741474152,0.2777777910232544
3,train,78,ksas_m1_p09_d,52,0.0714285714285714,1,9,False,0.024767065420746803,0.05082416534423828
3,train,79,ksas_m1_p09_i,38,0.3214285714285714,1,9,False,0.1251087635755539,0.2537594437599182
3,train,80,ksas_m2_p01_d,31,0.4464285714285714,1,9,False,0.18660126626491547,0.37442395091056824
3,train,81,ksas_m2_p01_i,30,0.4642857142857143,1,9,False,0.19632700085639954,0.40238097310066223
3,train,82,ksas_m2_p10_d,30,0.4642857142857143,1,9,False,0.19752930104732513,0.3869047462940216
3,train,83,ksas_m2_p10_i,20,0.6428571428571428,1,9,False,0.2893187999725342,0.5464285612106323
3,train,84,ksas_m2_p11_d,24,0.5714285714285714,1,9,False,0.2506023347377777,0.523809552192688
3,train,85,ksas_m2_p11_i,20,0.6428571428571428,1,9,False,0.287296861410141,0.610714316368103
3,train,86,ksas_m2_p12_d,30,0.4642857142857143,1,9,False,0.19805367290973663,0.3869047462940216
3,train,87,ksas_m2_p12_i,25,0.5535714285714286,1,9,False,0.24005478620529175,0.4692856967449188
3,train,88,ksas_m2_p13_d,23,0.5892857142857143,1,9,False,0.26226624846458435,0.5124223232269287
3,train,89,ksas_m2_p13_i,25,0.5535714285714286,1,9,False,0.24219010770320892,0.4649999737739563
3,train,90,ksas_m2_p14_d,33,0.4107142857142857,1,9,False,0.16788600385189056,0.37337666749954224
3,train,91,ksas_m2_p14_i,33,0.4107142857142857,1,9,False,0.17193512618541718,0.3484848737716675
3,train,94,ksas_m2_p16_d,26,0.5357142857142857,1,9,False,0.23539341986179352,0.5151098966598511
3,train,95,ksas_m2_p16_i,32,0.4285714285714286,1,9,False,0.17941291630268097,0.3482142984867096
3,train,96,ksas_m2_p17_d,51,0.0892857142857143,1,9,False,0.028653599321842194,0.07703083753585815
3,train,97,ksas_m2_p17_i,41,0.2678571428571429,1,9,False,0.10075636953115463,0.2286585569381714
3,train,102,ksas_m2_p02_d,27,0.5178571428571428,1,9,False,0.22470411658287048,0.460317462682724
3,train,103,ksas_m2_p02_i,28,0.5,1,9,False,0.2136361449956894,0.4107142984867096
3,train,104,ksas_m2_p20_d,29,0.4821428571428571,1,9,False,0.20604011416435242,0.3657635450363159
3,train,105,ksas_m2_p20_i,26,0.5357142857142857,1,9,False,0.23056848347187042,0.4148351550102234
3,train,106,ksas_m2_p03_d,28,0.5,1,9,False,0.21630527079105377,0.4642857015132904
3,train,107,ksas_m2_p03_i,32,0.4285714285714286,1,9,False,0.18080946803092957,0.3482142984867096
3,train,108,ksas_m2_p04_d,26,0.5357142857142857,1,9,False,0.23464027047157288,0.4532967209815979
3,train,109,ksas_m2_p04_i,28,0.5,1,9,False,0.21538406610488892,0.4464285671710968
3,train,112,ksas_m2_p06_d,27,0.5178571428571428,1,9,False,0.22544381022453308,0.4411375820636749
3,train,113,ksas_m2_p06_i,25,0.5535714285714286,1,9,False,0.24015164375305176,0.42071428894996643
3,train,114,ksas_m2_p07_d,25,0.5535714285714286,1,9,False,0.24457909166812897,0.44285714626312256
3,train,115,ksas_m2_p07_i,25,0.5535714285714286,1,9,False,0.24057680368423462,0.4649999737739563
3,train,116,ksas_m2_p08_d,33,0.4107142857142857,1,9,False,0.1707780808210373,0.3484848737716675
3,train,117,ksas_m2_p08_i,35,0.375,1,9,False,0.15340372920036316,0.3107143044471741
3,train,118,ksas_m2_p09_d,30,0.4642857142857143,1,9,False,0.1985536366701126,0.3869047462940216
3,train,119,ksas_m2_p09_i,25,0.5535714285714286,1,9,False,0.2413756549358368,0.5092856884002686
3,train,120,ksas_m3_p01_d,36,0.3571428571428571,1,9,False,0.14637529850006104,0.3373015522956848
3,train,121,ksas_m3_p01_i,32,0.4285714285714286,1,9,False,0.18227393925189972,0.3482142984867096
3,train,122,ksas_m3_p10_d,19,0.6607142857142857,1,9,False,0.29825806617736816,0.5554511547088623
3,train,123,ksas_m3_p10_i,20,0.6428571428571428,1,9,False,0.2829105257987976,0.5785714387893677
3,train,124,ksas_m3_p11_d,23,0.5892857142857143,1,9,False,0.26062411069869995,0.5636646151542664
3,train,125,ksas_m3_p11_i,24,0.5714285714285714,1,9,False,0.2515510618686676,0.5
3,train,126,ksas_m3_p12_d,18,0.6785714285714286,1,9,False,0.30571040511131287,0.6408729553222656
3,train,127,ksas_m3_p12_i,20,0.6428571428571428,1,9,False,0.2854875326156616,0.5464285612106323
3,train,128,ksas_m3_p13_d,27,0.5178571428571428,1,9,False,0.22401432693004608,0.4411375820636749
3,train,129,ksas_m3_p13_i,24,0.5714285714285714,1,9,False,0.25087395310401917,0.4523809850215912
3,train,130,ksas_m3_p14_d,35,0.375,1,9,False,0.1539044976234436,0.3142856955528259
3,train,131,ksas_m3_p14_i,27,0.5178571428571428,1,9,False,0.2235008180141449,0.4986772835254669
3,train,134,ksas_m3_p16_d,36,0.3571428571428571,1,9,False,0.145265132188797,0.3273809552192688
3,train,135,ksas_m3_p16_i,36,0.3571428571428571,1,9,False,0.14401192963123322,0.2876984477043152
3,train,136,ksas_m3_p17_d,46,0.1785714285714286,1,9,False,0.05751349404454231,0.14751553535461426
3,train,137,ksas_m3_p17_i,46,0.1785714285714286,1,9,False,0.05683722719550133,0.15527945756912231
3,train,142,ksas_m3_p02_d,26,0.5357142857142857,1,9,False,0.2327742576599121,0.4532967209815979
3,train,143,ksas_m3_p02_i,22,0.6071428571428572,1,9,False,0.26905858516693115,0.5616883039474487
3,train,144,ksas_m3_p20_d,39,0.3035714285714286,1,9,False,0.11471296101808548,0.21565937995910645
3,train,145,ksas_m3_p20_i,33,0.4107142857142857,1,9,False,0.1705472469329834,0.31114718317985535
3,train,146,ksas_m3_p03_d,29,0.4821428571428571,1,9,False,0.20595498383045197,0.4144088625907898
3,train,147,ksas_m3_p03_i,26,0.5357142857142857,1,9,False,0.2341560423374176,0.4532967209815979
3,train,148,ksas_m3_p04_d,36,0.3571428571428571,1,9,False,0.1441444456577301,0.2876984477043152
3,train,149,ksas_m3_p04_i,44,0.2142857142857143,1,9,False,0.07444126158952713,0.19480520486831665
3,train,152,ksas_m3_p06_d,45,0.1964285714285714,1,9,False,0.06451012194156647,0.14404761791229248
3,train,153,ksas_m3_p06_i,35,0.375,1,9,False,0.15331633388996124,0.3107143044471741
3,train,154,ksas_m3_p07_d,25,0.5535714285714286,1,9,False,0.24501417577266693,0.4649999737739563
3,train,155,ksas_m3_p07_i,25,0.5535714285714286,1,9,False,0.24141818284988403,0.4871428608894348
3,train,156,ksas_m3_p08_d,28,0.5,1,9,False,0.2180177867412567,0.3928571343421936
3,train,157,ksas_m3_p08_i,33,0.4107142857142857,1,9,False,0.1680978685617447,0.3360389471054077
3,train,158,ksas_m3_p09_d,30,0.4642857142857143,1,9,False,0.2003936767578125,0.4333333373069763
3,train,159,ksas_m3_p09_i,27,0.5178571428571428,1,9,False,0.22594071924686432,0.4411375820636749
3,train,160,ksas_m4_p01_d,27,0.5178571428571428,1,9,False,0.22480079531669617,0.4232804477214813
3,train,161,ksas_m4_p01_i,35,0.375,1,9,False,0.15144087374210358,0.3214285969734192
3,train,162,ksas_m4_p10_d,30,0.4642857142857143,1,9,False,0.19577272236347198,0.35357144474983215
3,train,163,ksas_m4_p10_i,29,0.4821428571428571,1,9,False,0.20403967797756195,0.3657635450363159
3,train,164,ksas_m4_p11_d,28,0.5,1,9,False,0.21497070789337158,0.392857164144516
3,train,165,ksas_m4_p11_i,29,0.4821428571428571,1,9,False,0.2064986526966095,0.39901480078697205
3,train,166,ksas_m4_p12_d,36,0.3571428571428571,1,9,False,0.14211046695709229,0.2777777910232544
3,train,167,ksas_m4_p12_i,32,0.4285714285714286,1,9,False,0.17816103994846344,0.3348214328289032
3,train,168,ksas_m4_p13_d,36,0.3571428571428571,1,9,False,0.1427036076784134,0.307539701461792
3,train,169,ksas_m4_p13_i,36,0.3571428571428571,1,9,False,0.14235585927963257,0.307539701461792
3,train,170,ksas_m4_p14_d,33,0.4107142857142857,1,9,False,0.1682528257369995,0.3306277394294739
3,train,171,ksas_m4_p14_i,37,0.3392857142857143,1,9,False,0.13648852705955505,0.25772202014923096
3,train,174,ksas_m4_p16_d,36,0.3571428571428571,1,9,False,0.14270755648612976,0.2976190447807312
3,train,175,ksas_m4_p16_i,38,0.3214285714285714,1,9,False,0.12469977140426636,0.24436086416244507
3,train,176,ksas_m4_p17_d,52,0.0714285714285714,1,9,False,0.021806320175528526,0.04807692766189575
3,train,177,ksas_m4_p17_i,56,0.0,1,9,False,0.0,0.0
3,train,182,ksas_m4_p02_d,35,0.375,1,9,False,0.15103931725025177,0.3321428894996643
3,train,183,ksas_m4_p02_i,31,0.4464285714285714,1,9,False,0.18733006715774536,0.37442395091056824
3,train,184,ksas_m4_p20_d,25,0.5535714285714286,1,9,False,0.24304752051830292,0.44285714626312256
3,train,185,ksas_m4_p20_i,36,0.3571428571428571,1,9,False,0.14498823881149292,0.2777777910232544
3,train,186,ksas_m4_p03_d,37,0.3392857142857143,1,9,False,0.13558967411518097,0.2842664122581482
3,train,187,ksas_m4_p03_i,36,0.3571428571428571,1,9,False,0.14228369295597076,0.2698413133621216
3,train,188,ksas_m4_p04_d,33,0.4107142857142857,1,9,False,0.1687864363193512,0.3360389471054077
3,train,189,ksas_m4_p04_i,56,0.0,1,9,False,0.0,0.0
3,train,192,ksas_m4_p06_d,36,0.3571428571428571,1,9,False,0.14313533902168274,0.307539701461792
3,train,193,ksas_m4_p06_i,36,0.3571428571428571,1,9,False,0.14368517696857452,0.2777777910232544
3,train,194,ksas_m4_p07_d,35,0.375,1,9,False,0.15389031171798706,0.28214287757873535
3,train,195,ksas_m4_p07_i,37,0.3392857142857143,1,9,False,0.13472017645835876,0.2572394013404846
3,train,196,ksas_m4_p08_d,35,0.375,1,9,False,0.15097318589687347,0.29285717010498047
3,train,197,ksas_m4_p08_i,36,0.3571428571428571,1,9,False,0.1418243944644928,0.307539701461792
3,train,198,ksas_m4_p09_d,37,0.3392857142857143,1,9,False,0.1339837908744812,0.2664092183113098
3,train,199,ksas_m4_p09_i,43,0.2321428571428571,1,9,False,0.08149835467338562,0.1997508406639099
3,train,200,ksas_m5_p01_d,40,0.2857142857142857,1,9,False,0.10624763369560242,0.21071428060531616
3,train,201,ksas_m5_p01_i,42,0.25,1,9,False,0.0884314477443695,0.2083333134651184
3,train,202,ksas_m5_p10_d,29,0.4821428571428571,1,9,False,0.20599530637264252,0.3657635450363159
3,train,203,ksas_m5_p10_i,22,0.6071428571428572,1,9,False,0.2705208957195282,0.4967532455921173
3,train,204,ksas_m5_p11_d,23,0.5892857142857143,1,9,False,0.2599072754383087,0.48680123686790466
3,train,205,ksas_m5_p11_i,24,0.5714285714285714,1,9,False,0.2503542900085449,0.5
3,train,206,ksas_m5_p12_d,24,0.5714285714285714,1,9,False,0.24961026012897491,0.4821428656578064
3,train,207,ksas_m5_p12_i,27,0.5178571428571428,1,9,False,0.2224995493888855,0.42195767164230347
3,train,208,ksas_m5_p13_d,36,0.3571428571428571,1,9,False,0.14398175477981567,0.307539701461792
3,train,209,ksas_m5_p13_i,34,0.3928571428571429,1,9,False,0.1610790193080902,0.3235294222831726
3,train,210,ksas_m5_p14_d,42,0.25,1,9,False,0.08970695734024048,0.1845238208770752
3,train,211,ksas_m5_p14_i,28,0.5,1,9,False,0.2159273326396942,0.3928571343421936
3,train,214,ksas_m5_p16_d,41,0.2678571428571429,1,9,False,0.09773928672075272,0.20252615213394165
3,train,215,ksas_m5_p16_i,38,0.3214285714285714,1,9,False,0.12375122308731079,0.2537594437599182
3,train,216,ksas_m5_p17_d,38,0.3214285714285714,1,9,False,0.12334034591913223,0.2537594437599182
3,train,217,ksas_m5_p17_i,46,0.1785714285714286,1,9,False,0.05606083199381828,0.13975155353546143
3,train,222,ksas_m5_p02_d,41,0.2678571428571429,1,9,False,0.09756328165531158,0.20905917882919312
3,train,223,ksas_m5_p02_i,36,0.3571428571428571,1,9,False,0.14280597865581512,0.307539701461792
3,train,224,ksas_m5_p20_d,27,0.5178571428571428,1,9,False,0.2237509936094284,0.4411375820636749
3,train,225,ksas_m5_p20_i,25,0.5535714285714286,1,9,False,0.2423204630613327,0.4649999737739563
3,train,226,ksas_m5_p03_d,50,0.1071428571428571,1,9,False,0.02714521996676922,0.08785712718963623
3,train,227,ksas_m5_p03_i,40,0.2857142857142857,1,9,False,0.10771211236715317,0.23571425676345825
3,train,228,ksas_m5_p04_d,28,0.5,1,9,False,0.21584467589855194,0.4285714328289032
3,train,229,ksas_m5_p04_i,33,0.4107142857142857,1,9,False,0.16993096470832825,0.36093074083328247
3,train,232,ksas_m5_p06_d,45,0.1964285714285714,1,9,False,0.06333880871534348,0.14841270446777344
3,train,233,ksas_m5_p06_i,36,0.3571428571428571,1,9,False,0.14487144351005554,0.2777777910232544
3,train,234,ksas_m5_p07_d,27,0.5178571428571428,1,9,False,0.22340106964111328,0.4411375820636749
3,train,235,ksas_m5_p07_i,27,0.5178571428571428,1,9,False,0.22614671289920807,0.4411375820636749
3,train,236,ksas_m5_p08_d,33,0.4107142857142857,1,9,False,0.17107978463172913,0.3235931098461151
3,train,237,ksas_m5_p08_i,32,0.4285714285714286,1,9,False,0.1792534738779068,0.3616071343421936
3,train,238,ksas_m5_p09_d,35,0.375,1,9,False,0.15455877780914307,0.3107143044471741
3,train,239,ksas_m5_p09_i,29,0.4821428571428571,1,9,False,0.2059476524591446,0.39901480078697205
3,test,12,ksas_m0_p15_d,41,0.2678571428571429,1,9,False,0.09744921326637268,0.20252615213394165
3,test,13,ksas_m0_p15_i,40,0.2857142857142857,1,9,False,0.10633976012468338,0.23571425676345825
3,test,18,ksas_m0_p18_d,23,0.5892857142857143,1,9,False,0.2520062029361725,0.5380434989929199
3,test,19,ksas_m0_p18_i,38,0.3214285714285714,1,9,False,0.12590816617012024,0.29605263471603394
3,test,20,ksas_m0_p19_d,35,0.375,1,9,False,0.1433437317609787,0.3642857074737549
3,test,21,ksas_m0_p19_i,39,0.3035714285714286,1,9,False,0.11293354630470276,0.2646520137786865
3,test,30,ksas_m0_p05_d,25,0.5535714285714286,1,9,False,0.23582673072814941,0.4692856967449188
3,test,31,ksas_m0_p05_i,34,0.3928571428571429,1,9,False,0.15994106233119965,0.31197476387023926
3,test,52,ksas_m1_p15_d,44,0.2142857142857143,1,9,False,0.07315824180841446,0.20941561460494995
3,test,53,ksas_m1_p15_i,47,0.1607142857142857,1,9,False,0.04709009826183319,0.1367781162261963
3,test,58,ksas_m1_p18_d,51,0.0892857142857143,1,9,False,0.02607247233390808,0.07177871465682983
3,test,59,ksas_m1_p18_i,42,0.25,1,9,False,0.08934083580970764,0.1845238208770752
3,test,60,ksas_m1_p19_d,44,0.2142857142857143,1,9,False,0.07308630645275116,0.18993502855300903
3,test,61,ksas_m1_p19_i,39,0.3035714285714286,1,9,False,0.11544458568096161,0.23351651430130005
3,test,70,ksas_m1_p05_d,30,0.4642857142857143,1,9,False,0.19683247804641724,0.37142857909202576
3,test,71,ksas_m1_p05_i,30,0.4642857142857143,1,9,False,0.1972324699163437,0.37142857909202576
3,test,92,ksas_m2_p15_d,40,0.2857142857142857,1,9,False,0.10827428847551346,0.2428571581840515
3,test,93,ksas_m2_p15_i,29,0.4821428571428571,1,9,False,0.20557257533073425,0.39901480078697205
3,test,98,ksas_m2_p18_d,30,0.4642857142857143,1,9,False,0.1997535675764084,0.4333333373069763
3,test,99,ksas_m2_p18_i,26,0.5357142857142857,1,9,False,0.23461121320724487,0.4148351550102234
3,test,100,ksas_m2_p19_d,51,0.0892857142857143,1,9,False,0.024962306022644043,0.07002800703048706
3,test,101,ksas_m2_p19_i,30,0.4642857142857143,1,9,False,0.19797493517398834,0.3999999761581421
3,test,110,ksas_m2_p05_d,42,0.25,1,9,False,0.09258472919464111,0.2202380895614624
3,test,111,ksas_m2_p05_i,35,0.375,1,9,False,0.15403440594673157,0.2785714566707611
3,test,132,ksas_m3_p15_d,36,0.3571428571428571,1,9,False,0.14625588059425354,0.3273809552192688
3,test,133,ksas_m3_p15_i,30,0.4642857142857143,1,9,False,0.19787652790546417,0.4333333373069763
3,test,138,ksas_m3_p18_d,33,0.4107142857142857,1,9,False,0.17085681855678558,0.3235931098461151
3,test,139,ksas_m3_p18_i,37,0.3392857142857143,1,9,False,0.13424745202064514,0.2567567825317383
3,test,140,ksas_m3_p19_d,48,0.1428571428571429,1,9,False,0.04421572387218475,0.125
3,test,141,ksas_m3_p19_i,38,0.3214285714285714,1,9,False,0.12574279308319092,0.29605263471603394
3,test,150,ksas_m3_p05_d,28,0.5,1,9,False,0.2137306183576584,0.4285714328289032
3,test,151,ksas_m3_p05_i,26,0.5357142857142857,1,9,False,0.233900785446167,0.4532967209815979
3,test,172,ksas_m4_p15_d,36,0.3571428571428571,1,9,False,0.14319832623004913,0.2976190447807312
3,test,173,ksas_m4_p15_i,37,0.3392857142857143,1,9,False,0.13424105942249298,0.2842664122581482
3,test,178,ksas_m4_p18_d,36,0.3571428571428571,1,9,False,0.14379408955574036,0.2976190447807312
3,test,179,ksas_m4_p18_i,41,0.2678571428571429,1,9,False,0.09689327329397202,0.20905917882919312
3,test,180,ksas_m4_p19_d,51,0.0892857142857143,1,9,False,0.023557113483548164,0.06127452850341797
3,test,181,ksas_m4_p19_i,42,0.25,1,9,False,0.08949831128120422,0.2083333134651184
3,test,190,ksas_m4_p05_d,39,0.3035714285714286,1,9,False,0.11704351752996445,0.22573262453079224
3,test,191,ksas_m4_p05_i,36,0.3571428571428571,1,9,False,0.14163412153720856,0.2876984477043152
3,test,212,ksas_m5_p15_d,30,0.4642857142857143,1,9,False,0.19901816546916962,0.35595235228538513
3,test,213,ksas_m5_p15_i,34,0.3928571428571429,1,9,False,0.16130758821964264,0.3403360843658447
3,test,218,ksas_m5_p18_d,41,0.2678571428571429,1,9,False,0.09904360771179199,0.21559232473373413
3,test,219,ksas_m5_p18_i,34,0.3928571428571429,1,9,False,0.16027313470840454,0.2888655364513397
3,test,220,ksas_m5_p19_d,49,0.125,1,9,False,0.03317507356405258,0.09693878889083862
3,test,221,ksas_m5_p19_i,49,0.125,1,9,False,0.03360024839639664,0.09438776969909668
3,test,230,ksas_m5_p05_d,32,0.4285714285714286,1,9,False,0.17941291630268097,0.3214285671710968
3,test,231,ksas_m5_p05_i,27,0.5178571428571428,1,9,False,0.22271433472633362,0.4437830448150635
3,train,0,ksas_m0_p01_d,27,0.5178571428571428,2,17,False,0.19241178035736084,0.4986772835254669
3,train,1,ksas_m0_p01_i,31,0.4464285714285714,2,17,False,0.15315797924995422,0.3888248801231384
3,train,2,ksas_m0_p10_d,33,0.4107142857142857,2,17,False,0.13571657240390778,0.33766233921051025
3,train,3,ksas_m0_p10_i,43,0.2321428571428571,2,17,False,0.06538254022598267,0.21054816246032715
3,train,4,ksas_m0_p11_d,52,0.0714285714285714,2,17,False,0.02926042303442955,0.06593406945466995
3,train,5,ksas_m0_p11_i,28,0.5,2,17,False,0.18341362476348877,0.5
3,train,6,ksas_m0_p12_d,39,0.3035714285714286,2,17,False,0.08863011002540588,0.2568681240081787
3,train,7,ksas_m0_p12_i,18,0.6785714285714286,2,17,False,0.2626619338989258,0.6785714626312256
3,train,8,ksas_m0_p13_d,38,0.3214285714285714,2,17,False,0.09866928309202194,0.29605263471603394
3,train,9,ksas_m0_p13_i,40,0.2857142857142857,2,17,False,0.08541429787874222,0.2785714268684387
3,train,10,ksas_m0_p14_d,34,0.3928571428571429,2,17,False,0.1289946585893631,0.3928571343421936
3,train,11,ksas_m0_p14_i,31,0.4464285714285714,2,17,False,0.15533718466758728,0.4320276379585266
3,train,14,ksas_m0_p16_d,30,0.4642857142857143,2,17,False,0.16944602131843567,0.4333333373069763
3,train,15,ksas_m0_p16_i,28,0.5,2,17,False,0.18327192962169647,0.4642857015132904
3,train,16,ksas_m0_p17_d,34,0.3928571428571429,2,17,False,0.12069688737392426,0.31197476387023926
3,train,17,ksas_m0_p17_i,23,0.5892857142857143,2,17,False,0.22096776962280273,0.5380434989929199
3,train,22,ksas_m0_p02_d,32,0.4285714285714286,2,17,False,0.14750152826309204,0.4285714030265808
3,train,23,ksas_m0_p02_i,29,0.4821428571428571,2,17,False,0.17832626402378082,0.4821428656578064
3,train,24,ksas_m0_p20_d,36,0.3571428571428571,2,17,False,0.11590345948934555,0.3373015522956848
3,train,25,ksas_m0_p20_i,22,0.6071428571428572,2,17,False,0.23144713044166565,0.6071428656578064
3,train,26,ksas_m0_p03_d,31,0.4464285714285714,2,17,False,0.1588299721479416,0.4464285969734192
3,train,27,ksas_m0_p03_i,19,0.6607142857142857,2,17,False,0.27541759610176086,0.6607142686843872
3,train,28,ksas_m0_p04_d,49,0.125,2,17,False,0.03982763737440109,0.1071428656578064
3,train,29,ksas_m0_p04_i,44,0.2142857142857143,2,17,False,0.05982765182852745,0.18506497144699097
3,train,32,ksas_m0_p06_d,40,0.2857142857142857,2,17,False,0.08280187100172043,0.2428571581840515
3,train,33,ksas_m0_p06_i,38,0.3214285714285714,2,17,False,0.10141114145517349,0.3214285969734192
3,train,34,ksas_m0_p07_d,38,0.3214285714285714,2,17,False,0.10308074951171875,0.29605263471603394
